epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,383.127,0.80077,0.50382,1.02389,0.87745,0.88875,0.93195,0.75066,0.81181,0.52348,1.07362,0.00102345,0.00102345,0.00102345
88,387.813,0.80365,0.50361,1.03114,0.73493,0.97214,0.92757,0.76602,0.74162,0.55136,1.02661,0.00101873,0.00101873,0.00101873
89,392.261,0.79749,0.50575,1.01429,0.82442,0.92162,0.91791,0.75723,0.72871,0.49203,1.00275,0.00101402,0.00101402,0.00101402
90,395.93,0.80234,0.51355,1.01821,0.85865,0.83924,0.90068,0.76589,0.76214,0.55524,1.01344,0.0010093,0.0010093,0.0010093
91,399.607,0.78308,0.48487,1.01198,0.88842,0.88553,0.94002,0.79282,0.71814,0.50947,1.03014,0.00100459,0.00100459,0.00100459
92,403.359,0.80826,0.50371,1.02462,0.8886,0.88894,0.9422,0.76827,0.73945,0.53255,1.02711,0.000999871,0.000999871,0.000999871
93,407.164,0.77967,0.49577,1.01093,0.89902,0.84109,0.91229,0.75688,0.75282,0.52714,1.02843,0.000995156,0.000995156,0.000995156
94,410.985,0.8036,0.50423,1.03086,0.87257,0.91121,0.93062,0.78767,0.75275,0.49748,1.02917,0.00099044,0.00099044,0.00099044
95,414.822,0.80371,0.49545,1.02709,0.87443,0.85895,0.92051,0.77856,0.78231,0.51831,1.03819,0.000985724,0.000985724,0.000985724
96,418.683,0.80473,0.497,1.01548,0.80484,0.85498,0.85976,0.71282,0.80356,0.57992,1.05503,0.000981008,0.000981008,0.000981008
97,422.484,0.81368,0.50385,1.01851,0.86168,0.83845,0.89118,0.75292,0.7574,0.54053,1.02469,0.000976293,0.000976293,0.000976293
98,426.315,0.7589,0.48077,1.00565,0.83556,0.86657,0.89983,0.75222,0.77606,0.53524,1.03638,0.000971577,0.000971577,0.000971577
99,430.465,0.76931,0.47545,1.00295,0.88082,0.82434,0.91112,0.7765,0.74231,0.51497,1.02288,0.000966861,0.000966861,0.000966861
100,434.736,0.7716,0.4879,1.0178,0.87235,0.81324,0.90792,0.76877,0.74747,0.53444,1.05394,0.000962146,0.000962146,0.000962146
101,438.52,0.76632,0.48534,1.0108,0.84853,0.88515,0.90573,0.77084,0.70455,0.50457,1.01926,0.00095743,0.00095743,0.00095743
102,442.382,0.78296,0.49288,1.01695,0.81655,0.89066,0.87567,0.71745,0.80143,0.55701,1.06925,0.000952714,0.000952714,0.000952714
103,446.611,0.76781,0.47741,1.0131,0.86699,0.84817,0.91779,0.76068,0.77639,0.53062,1.03815,0.000947999,0.000947999,0.000947999
104,450.715,0.75441,0.46353,1.01456,0.85446,0.84716,0.90792,0.77043,0.76872,0.54812,1.02846,0.000943283,0.000943283,0.000943283
105,454.799,0.81573,0.49323,1.03587,0.90834,0.83033,0.90534,0.77404,0.71387,0.50076,1.00566,0.000938567,0.000938567,0.000938567
106,459.355,0.79488,0.48273,1.01647,0.84275,0.9557,0.93861,0.78367,0.69748,0.46642,1.00548,0.000933851,0.000933851,0.000933851
107,463.854,0.78704,0.4915,1.02141,0.82336,0.93959,0.92429,0.78869,0.67927,0.49216,0.99077,0.000929136,0.000929136,0.000929136
108,467.601,0.77183,0.47388,1.01081,0.84631,0.8773,0.91594,0.77945,0.68575,0.48159,1.0001,0.00092442,0.00092442,0.00092442
109,471.362,0.7898,0.48957,1.02083,0.82076,0.93529,0.9164,0.77908,0.70776,0.50102,1.01527,0.000919704,0.000919704,0.000919704
110,475.229,0.79154,0.4748,1.01525,0.87292,0.90236,0.9286,0.79589,0.71164,0.52796,1.02512,0.000914989,0.000914989,0.000914989
111,479.071,0.74498,0.47134,1.00286,0.88827,0.88413,0.93169,0.78959,0.72741,0.49838,1.02316,0.000910273,0.000910273,0.000910273
112,482.91,0.74157,0.47678,1.00235,0.8165,0.88052,0.9071,0.7686,0.74366,0.51671,1.032,0.000905557,0.000905557,0.000905557
113,486.637,0.77499,0.466,1.00763,0.82957,0.86312,0.89263,0.74611,0.7402,0.50235,1.0355,0.000900842,0.000900842,0.000900842
114,490.368,0.77634,0.46015,1.01223,0.87076,0.89132,0.92433,0.77142,0.74785,0.50942,1.04113,0.000896126,0.000896126,0.000896126
115,494.126,0.76698,0.47328,1.00214,0.82561,0.88796,0.92053,0.78448,0.67343,0.49325,1.00521,0.00089141,0.00089141,0.00089141
116,497.838,0.76708,0.47753,1.0213,0.81495,0.91165,0.9244,0.80382,0.68806,0.50175,1.01411,0.000886694,0.000886694,0.000886694
117,501.546,0.75955,0.46541,1.00665,0.84712,0.8889,0.91934,0.77785,0.72956,0.50449,1.03957,0.000881979,0.000881979,0.000881979
118,505.233,0.76552,0.47382,1.00575,0.85875,0.86065,0.92384,0.78437,0.74416,0.50529,1.03884,0.000877263,0.000877263,0.000877263
119,508.95,0.74418,0.45764,0.9887,0.87245,0.88359,0.91278,0.75352,0.75054,0.54202,1.05585,0.000872547,0.000872547,0.000872547
120,512.637,0.78088,0.4819,1.02486,0.88246,0.87096,0.91389,0.75984,0.76686,0.53455,1.04447,0.000867832,0.000867832,0.000867832
121,516.347,0.74657,0.46884,1.00319,0.85712,0.90403,0.92608,0.78146,0.68778,0.49776,1.01406,0.000863116,0.000863116,0.000863116
122,520.056,0.71464,0.44582,0.9939,0.89064,0.88034,0.92858,0.79576,0.66286,0.48416,1.00571,0.0008584,0.0008584,0.0008584
123,523.769,0.73833,0.4682,0.99987,0.8379,0.92476,0.92933,0.78807,0.71623,0.48128,1.01435,0.000853685,0.000853685,0.000853685
124,527.496,0.75448,0.4662,1.00694,0.86783,0.92266,0.93147,0.78791,0.68292,0.4823,1.0116,0.000848969,0.000848969,0.000848969
125,531.175,0.76767,0.45847,1.01425,0.90568,0.88529,0.92702,0.78742,0.73454,0.50267,1.02258,0.000844253,0.000844253,0.000844253
126,534.825,0.75574,0.46865,0.99934,0.8878,0.79968,0.89658,0.7606,0.73815,0.5141,1.02709,0.000839537,0.000839537,0.000839537
127,538.517,0.74878,0.46824,1.00351,0.89214,0.89437,0.92859,0.78419,0.68868,0.49795,1.00518,0.000834822,0.000834822,0.000834822
128,542.245,0.74394,0.47315,0.99568,0.87333,0.83268,0.92239,0.78564,0.74528,0.51454,1.0368,0.000830106,0.000830106,0.000830106
129,545.906,0.75285,0.46386,1.0067,0.85704,0.8755,0.92095,0.7823,0.71832,0.4815,1.0198,0.00082539,0.00082539,0.00082539
130,549.622,0.76296,0.45195,1.00676,0.85882,0.91535,0.9358,0.79552,0.69578,0.47792,1.00674,0.000820675,0.000820675,0.000820675
131,553.339,0.74925,0.45289,0.99561,0.87574,0.90048,0.92824,0.79721,0.69427,0.46626,0.99894,0.000815959,0.000815959,0.000815959
132,557.058,0.74486,0.4605,1.00468,0.87905,0.90251,0.93141,0.80579,0.71083,0.47126,1.02011,0.000811243,0.000811243,0.000811243
133,560.736,0.73199,0.45512,1.00174,0.89697,0.87016,0.92939,0.78808,0.67327,0.46259,0.99277,0.000806528,0.000806528,0.000806528
134,564.497,0.76764,0.45019,1.00517,0.90342,0.92229,0.94409,0.81553,0.67776,0.45161,0.99814,0.000801812,0.000801812,0.000801812
135,568.224,0.75627,0.46061,1.01045,0.91179,0.89955,0.94215,0.80703,0.67253,0.44905,0.99124,0.000797096,0.000797096,0.000797096
136,571.984,0.74026,0.45019,0.9908,0.89022,0.87483,0.93941,0.78375,0.73394,0.50899,1.01529,0.00079238,0.00079238,0.00079238
